,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
100,Brad Richardson,27,LAK,RW,16,2,0.06,0.31,0.38,0.12,0.63,1.69,2,9,11,4,6,0,4,0,2,0.3,0.3,0.6,0,,,,richabr02
101,Brad Staubitz,28,ANA,RW,15,1,0.07,0.07,0.13,0.05,2.73,0.33,2,2,4,2,2,0,2,0,0,0.1,0.1,0.2,0,,,,staubbr01
102,Brad Stuart,33,SJS,D,48,2,0.00,0.13,0.13,0.03,0.52,0.81,0,11,11,3,35,2,43,14,4,-0.5,3.0,2.5,0,,,,stuarbr02
103,Braden Holtby,23,WSH,G,36,1,0.00,0.06,0.06,0.01,0.06,0.00,0,4,4,1,2,1,0,0,0,0.0,0.0,8.0,0,,,,holtbbr01
104,Brandon Bollig,26,CHI,LW,25,0,0.00,0.00,0.00,0.00,2.04,1.36,0,0,0,0,5,0,6,0,-1,-0.6,0.1,-0.4,0,,,,bollibr01
105,Brandon Dubinsky,26,CBJ,C,29,6,0.07,0.62,0.69,0.20,2.62,1.72,4,34,38,11,27,10,24,9,2,0.9,0.7,1.7,0,,,,dubinbr01
106,Brandon Manning,22,PHI,D,6,1,0.00,0.33,0.33,0.09,0.00,0.83,0,4,4,1,8,0,4,0,4,0.1,0.6,0.7,0,,,,mannibr01
107,Brandon Mashinter,24,NYR,LW,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,2,0,-2,-0.1,-0.1,-0.1,0,,,,mashibr01
108,Brandon McMillan,22,ANA,LW,6,0,0.00,0.17,0.17,0.05,0.33,0.33,0,2,2,1,1,0,3,1,-1,0.0,0.0,0.0,0,,,,mcmilbr01
109,Brandon Pirri,21,CHI,C,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,0,0,0,-0.1,0.0,0.0,0,,,,pirribr01
110,Brandon Prust,28,MTL,LW,38,5,0.13,0.24,0.37,0.13,2.89,1.03,10,17,27,10,23,0,20,8,11,0.6,1.0,1.6,0,,,,prustbr01
