,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
406,Jeff Tambellini,21,NYI,LW,21,1,0.05,0.14,0.19,0.06,0.38,0.52,1,3,4,1,9,0,7,0,2,-0.1,0.3,0.2,0,,,,tambeje01
406,Jeff Tambellini,21,LAK,LW,4,0,0.00,0.00,0.00,0.00,0.50,1.50,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,tambeje01
407,Jeff Woywitka,22,STL,D,26,1,0.00,0.08,0.08,0.02,0.96,0.88,0,2,2,1,6,0,18,0,-12,-0.1,-0.1,-0.3,0,,,,woywije01
408,Jere Lehtinen,32,DAL,RW,80,22,0.41,0.24,0.65,0.28,0.38,2.70,33,18,51,23,86,40,58,21,9,3.9,2.2,6.1,0,,,,lehtije01
409,Jeremy Colliton,21,NYI,C,19,1,0.05,0.05,0.11,0.04,0.32,0.47,1,1,2,1,3,0,2,1,2,-0.1,0.2,0.2,0,,,,collije01
410,Jeremy Roenick,36,LAK,C,58,8,0.16,0.22,0.38,0.14,0.62,1.91,9,12,21,8,36,12,46,17,-5,0.1,0.9,0.9,0,,,,roenije01
411,Jeremy Stevenson,31,TOT,LW,51,3,0.10,0.06,0.16,0.07,1.86,0.94,5,3,8,4,9,0,12,0,-3,0.2,0.3,0.5,0,,,,steveje01
411,Jeremy Stevenson,31,NSH,LW,35,3,0.11,0.09,0.20,0.08,2.11,1.03,4,3,7,3,8,0,8,0,0,0.3,0.3,0.6,0,,,,steveje01
411,Jeremy Stevenson,31,DAL,LW,16,1,0.06,0.00,0.06,0.03,1.31,0.75,1,0,1,1,1,0,4,0,-3,-0.1,0.0,-0.1,0,,,,steveje01
412,Jeremy Williams,22,TOR,C,1,1,1.00,0.00,1.00,0.53,0.00,1.00,1,0,1,1,1,0,1,0,0,0.2,0.0,0.2,0,,,,willije01
413,Jerred Smithson,26,NSH,C,66,5,0.08,0.14,0.21,0.08,0.82,0.76,5,9,14,5,25,0,35,19,9,-0.4,1.2,0.8,0,,,,smithje01
414,Jesse Boulerice,27,TOT,RW,38,0,0.00,0.00,0.00,0.00,1.68,0.13,0,0,0,0,1,0,8,0,-7,-0.3,-0.1,-0.4,0,,,,bouleje01
414,Jesse Boulerice,27,CAR,RW,26,0,0.00,0.00,0.00,0.00,1.96,0.12,0,0,0,0,1,0,4,0,-3,-0.2,0.0,-0.2,0,,,,bouleje01
414,Jesse Boulerice,27,STL,RW,12,0,0.00,0.00,0.00,0.00,1.08,0.17,0,0,0,0,0,0,4,0,-4,-0.1,-0.1,-0.2,0,,,,bouleje01
